#t	I	B	f
34.101	2.4825	909	NAN	
34.201	2.4705	906.5	NAN	
34.301	2.4615	905	NAN	
34.401	2.448	903	NAN	
34.501	2.433	901	NAN	
34.601	2.4225	898.5	NAN	
34.701	2.412	897	NAN	
34.801	2.3955	894.5	NAN	
34.901	2.382	891.5	NAN	
35.001	2.3655	889	NAN	
35.101	2.3595	887.5	NAN	
35.201	2.3505	886	NAN	
35.301	2.334	883	NAN	
35.401	2.3055	879	NAN	
35.501	2.2935	876	NAN	
35.601	2.2695	872	NAN	
35.701	2.2515	868	NAN	
35.801	2.229	864	NAN	
35.901	2.22	861	NAN	
36.001	2.214	859.5	NAN	
36.101	2.2035	857.5	NAN	
36.201	2.1975	855.5	NAN	
36.301	2.1915	855	NAN	
36.401	2.184	853	NAN	
36.501	2.1825	852	NAN	
36.601	2.178	851.5	NAN	
36.701	2.1795	851	NAN	
36.801	2.175	851	NAN	
36.901	2.1555	848	NAN	
37.001	2.136	844	NAN	
37.101	2.112	839.5	NAN	
37.201	2.1015	836	NAN	
37.301	2.0925	833.5	NAN	
37.401	2.076	830	NAN	
37.501	2.0445	825	NAN	
37.601	2.0235	819.5	NAN	
37.701	2.0085	815	NAN	
37.801	2.0085	813.5	NAN	
37.901	2.0055	812.5	NAN	
38.001	1.9965	811	NAN	
38.101	1.986	808.5	NAN	
38.201	1.974	806	NAN	
38.301	1.953	802	NAN	
38.401	1.9425	798	NAN	
38.501	1.9335	796	NAN	
38.601	1.92	792.5	NAN	
38.701	1.9065	789.5	NAN	
38.801	1.899	787	NAN	
38.901	1.8855	784.5	NAN	
39.001	1.8705	780.5	NAN	
39.101	1.869	778.5	NAN	
39.201	1.857	776	NAN	
39.301	1.8405	772.5	NAN	
39.401	1.83	769.5	NAN	
39.501	1.8165	766	NAN	
39.601	1.7925	760.5	NAN	
39.701	1.7745	756	NAN	
39.801	1.7655	752	NAN	
39.901	1.7505	748.5	NAN	
40.001	1.74	745.5	NAN	
40.101	1.737	743.5	NAN	
40.201	1.7295	742	NAN	
40.301	1.725	740.5	NAN	
40.401	1.6965	735	NAN	
40.501	1.665	727	NAN	
40.601	1.6425	720.5	NAN	
40.701	1.6185	714	NAN	
40.801	1.6035	708.5	NAN	
40.901	1.599	705.5	NAN	
41.001	1.581	701.5	NAN	
41.101	1.5585	695.5	NAN	
41.201	1.5405	689.5	NAN	
41.301	1.5135	683.5	NAN	
41.401	1.497	676.5	NAN	
41.501	1.476	671	NAN	
41.601	1.467	667	NAN	
41.701	1.4295	658.5	NAN	
41.801	1.422	653.5	NAN	
41.901	1.41	650	NAN	
42.001	1.4025	647.5	NAN	
42.101	1.386	642.5	NAN	
42.201	1.3845	640.5	NAN	
42.301	1.3815	639	NAN	
42.401	1.3695	636.5	NAN	
42.501	1.3515	632	NAN	
42.601	1.3365	627	NAN	
42.701	1.3065	619.5	NAN	
42.801	1.3035	615.5	NAN	
42.901	1.29	612	NAN	
43.001	1.2675	606	NAN	
43.101	1.2435	598.5	NAN	
43.201	1.215	590	NAN	
43.301	1.191	582.5	NAN	
43.401	1.167	573.5	NAN	
43.501	1.143	566.5	NAN	
43.601	1.1205	558	NAN	
43.701	1.0935	549.5	NAN	
43.801	1.0695	541.5	NAN	
