38,1	2,5785	921	NAN	
38,2	2,5755	920	NAN	
38,3	2,5635	918,5	NAN	
38,4	2,532	915	NAN	
38,5	2,5275	913,5	NAN	
38,6	2,5185	912	NAN	
38,7	2,511	911	NAN	
38,8	2,5035	909,5	NAN	
38,9	2,4975	909	NAN	
39	2,4945	908	NAN	
39,1	2,4795	907	NAN	
39,2	2,472	905	NAN	
39,3	2,4555	903	NAN	
39,4	2,445	901,5	NAN	
39,5	2,4285	898,5	NAN	
39,6	2,427	897	NAN	
39,7	2,418	896	NAN	
39,8	2,406	894,5	NAN	
39,9	2,406	894	NAN	
40	2,4	893	NAN	
40,1	2,3895	891,5	NAN	
40,2	2,382	890	NAN	
40,3	2,373	888,5	NAN	
40,4	2,367	887	NAN	
40,5	2,3625	886,5	NAN	
40,6	2,361	886	NAN	
40,7	2,3595	886	NAN	
40,8	2,358	885,5	NAN	
40,9	2,352	884,5	NAN	
41	2,343	883	NAN	
41,1	2,3325	881,5	NAN	
41,2	2,325	880	NAN	
41,3	2,3205	879	NAN	
41,4	2,316	878	NAN	
41,5	2,316	878	NAN	
41,6	2,316	877,5	NAN	
41,7	2,31	877	NAN	
41,8	2,3085	876,5	NAN	
41,9	2,3025	876	NAN	
42	2,292	874	NAN	
42,1	2,2875	873	NAN	
42,2	2,286	872	NAN	
42,3	2,28	871,5	NAN	
42,4	2,2725	870,5	NAN	
42,5	2,2635	868,5	NAN	
42,6	2,262	867	NAN	
42,7	2,2425	864,5	NAN	
42,8	2,2275	862	NAN	
42,9	2,223	860,5	NAN	
43	2,2185	859,5	NAN	
43,1	2,2125	858	NAN	
43,2	2,2095	857	NAN	
43,3	2,2095	856,5	NAN	
43,4	2,208	856,5	NAN	
43,5	2,202	856	NAN	
43,6	2,199	855	NAN	
43,7	2,19	853,5	NAN	
43,8	2,187	853	NAN	
43,9	2,187	852,5	NAN	
44	2,1825	852	NAN	
44,1	2,16	848,5	NAN	
44,2	2,148	845	NAN	
44,3	2,1405	843	NAN	
44,4	2,127	841	NAN	
44,5	2,118	838,5	NAN	
44,6	2,115	837	NAN	
44,7	2,112	836,5	NAN	
44,8	2,1015	834,5	NAN	
44,9	2,103	834	NAN	
45	2,0985	833	NAN	
45,1	2,088	831,5	NAN	
45,2	2,0775	829,5	NAN	
45,3	2,0655	826,5	NAN	
45,4	2,055	824	NAN	
45,5	2,0505	823	NAN	
45,6	2,0355	820	NAN	
